epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5088,1.00946,2.01591,1.35203,0.48287,0.48201,0.50347,0.35016,1.04465,2.22329,1.46522,0.000474696,0.000474696,0.000474696
2,101.812,1.11736,1.61936,1.41911,0.42612,0.50572,0.40068,0.24262,1.34411,2.23672,1.81646,0.000938476,0.000938476,0.000938476
3,145.015,1.14241,1.49147,1.43631,0.57593,0.55404,0.54901,0.36888,1.03091,1.6495,1.48277,0.00138968,0.00138968,0.00138968
4,188.541,1.10407,1.35892,1.40533,0.56512,0.60002,0.57201,0.41401,1.03144,1.55235,1.45044,0.00137241,0.00137241,0.00137241
5,231.537,1.07598,1.29889,1.38104,0.61583,0.57213,0.56706,0.40462,0.98358,1.501,1.38952,0.00135355,0.00135355,0.00135355
6,274.831,1.04156,1.21266,1.36258,0.59524,0.60394,0.61157,0.45158,0.93684,1.34381,1.36462,0.00133469,0.00133469,0.00133469
7,317.967,1.01874,1.1699,1.35008,0.57782,0.54902,0.55167,0.42981,0.86048,1.85626,1.31824,0.00131582,0.00131582,0.00131582
8,361.146,0.99745,1.11531,1.33092,0.6659,0.62407,0.66477,0.50526,0.90784,1.32734,1.35811,0.00129696,0.00129696,0.00129696
9,404.368,0.9844,1.06564,1.31613,0.73082,0.5682,0.66789,0.51443,0.82055,1.34152,1.26476,0.0012781,0.0012781,0.0012781
10,447.616,0.96674,1.02915,1.29947,0.71966,0.62907,0.71428,0.54592,0.84108,1.1,1.28724,0.00125923,0.00125923,0.00125923
11,490.803,0.93226,1.00707,1.28741,0.68868,0.6222,0.66696,0.51634,0.84714,1.21375,1.27383,0.00124037,0.00124037,0.00124037
12,534.008,0.92624,0.98997,1.27941,0.66048,0.69336,0.67523,0.52952,0.77113,1.16562,1.23558,0.00122151,0.00122151,0.00122151
13,577.994,0.92339,0.9496,1.27602,0.71364,0.62845,0.69405,0.55887,0.76011,1.22052,1.21224,0.00120265,0.00120265,0.00120265
14,621.527,0.91254,0.9483,1.26844,0.67342,0.69706,0.70925,0.57111,0.75496,1.05541,1.21967,0.00118378,0.00118378,0.00118378
15,664.904,0.889,0.91494,1.26226,0.66168,0.69235,0.69847,0.56861,0.73298,1.10021,1.19216,0.00116492,0.00116492,0.00116492
16,708.204,0.88772,0.89263,1.24649,0.74483,0.70532,0.74877,0.59998,0.70939,0.98064,1.17757,0.00114606,0.00114606,0.00114606
17,751.502,0.87394,0.89216,1.24337,0.71161,0.66921,0.70984,0.57334,0.76456,1.04147,1.20398,0.0011272,0.0011272,0.0011272
18,794.727,0.85884,0.85581,1.22883,0.67369,0.71355,0.7223,0.57178,0.77749,1.06679,1.20669,0.00110833,0.00110833,0.00110833
19,837.782,0.85718,0.86346,1.22775,0.70155,0.6942,0.71182,0.59232,0.68535,1.03918,1.15298,0.00108947,0.00108947,0.00108947
20,881.186,0.84963,0.83716,1.22581,0.73395,0.65833,0.7151,0.5728,0.75307,1.13302,1.22005,0.00107061,0.00107061,0.00107061
21,924.668,0.83275,0.81155,1.21476,0.71054,0.69908,0.72458,0.59858,0.67754,0.99329,1.14162,0.00105174,0.00105174,0.00105174
22,968.179,0.83025,0.79958,1.20903,0.70519,0.72828,0.726,0.61172,0.67913,1.04612,1.14369,0.00103288,0.00103288,0.00103288
23,1011.22,0.82018,0.80459,1.21062,0.74293,0.68454,0.72813,0.60601,0.68739,1.01109,1.14651,0.00101402,0.00101402,0.00101402
24,1054.52,0.81202,0.78251,1.19971,0.73405,0.67608,0.70031,0.57409,0.73408,1.22273,1.19519,0.000995156,0.000995156,0.000995156
25,1098.63,0.80947,0.77677,1.20186,0.71456,0.73423,0.76061,0.63402,0.67165,0.93597,1.14306,0.000976293,0.000976293,0.000976293
26,1142.24,0.79955,0.77873,1.19405,0.77517,0.67845,0.74995,0.62525,0.66907,0.99282,1.14455,0.00095743,0.00095743,0.00095743
27,1186.46,0.78625,0.75281,1.1825,0.77245,0.72098,0.76685,0.63956,0.69156,0.91465,1.14399,0.000938567,0.000938567,0.000938567
28,1230.6,0.7864,0.75156,1.18598,0.77538,0.72521,0.79848,0.67417,0.65246,0.81327,1.12135,0.000919704,0.000919704,0.000919704
29,1274.09,0.7799,0.73416,1.17859,0.75236,0.72579,0.76794,0.64819,0.6519,0.88168,1.13082,0.000900842,0.000900842,0.000900842
30,1317.34,0.77457,0.72411,1.16999,0.79076,0.7147,0.77472,0.65338,0.64539,0.88112,1.12277,0.000881979,0.000881979,0.000881979
31,1360.77,0.742,0.70166,1.1562,0.7178,0.71093,0.7358,0.62399,0.65666,1.02213,1.11933,0.000863116,0.000863116,0.000863116
32,1404.6,0.76145,0.70816,1.16698,0.73609,0.75121,0.75655,0.64034,0.61665,0.94457,1.09098,0.000844253,0.000844253,0.000844253
33,1448.1,0.74606,0.69415,1.15479,0.73626,0.70602,0.74763,0.63645,0.62157,0.94509,1.10477,0.00082539,0.00082539,0.00082539
34,1491.31,0.72916,0.68395,1.14656,0.72103,0.72495,0.72313,0.61283,0.62434,1.09052,1.09591,0.000806528,0.000806528,0.000806528
35,1534.65,0.73242,0.67435,1.14833,0.75946,0.7355,0.77034,0.6527,0.63289,0.87201,1.11416,0.000787665,0.000787665,0.000787665
36,1578.13,0.72296,0.67139,1.1453,0.74855,0.69039,0.7617,0.64197,0.63701,0.9552,1.12247,0.000768802,0.000768802,0.000768802
37,1621.08,0.71276,0.6487,1.13656,0.7737,0.71405,0.77742,0.66632,0.62057,0.88627,1.10811,0.000749939,0.000749939,0.000749939
38,1664.66,0.70597,0.64837,1.13437,0.70203,0.7599,0.73403,0.62709,0.635,1.04439,1.10486,0.000731076,0.000731076,0.000731076
39,1708.15,0.71269,0.65251,1.13719,0.72711,0.73375,0.73556,0.63534,0.59592,0.95668,1.08773,0.000712214,0.000712214,0.000712214
40,1752.01,0.71103,0.63599,1.1309,0.71384,0.74137,0.73346,0.62362,0.61135,0.98813,1.09253,0.000693351,0.000693351,0.000693351
41,1796.43,0.7,0.63508,1.12822,0.75176,0.75603,0.76715,0.65679,0.61202,0.96464,1.09442,0.000674488,0.000674488,0.000674488
42,1839.91,0.69608,0.625,1.12097,0.74361,0.73199,0.74255,0.63921,0.61668,0.99462,1.08336,0.000655625,0.000655625,0.000655625
43,1883.52,0.68449,0.61938,1.11681,0.79474,0.70517,0.75059,0.63751,0.61902,0.99529,1.10383,0.000636762,0.000636762,0.000636762
44,1926.91,0.67563,0.60791,1.11261,0.77155,0.73798,0.75154,0.64182,0.61445,0.90953,1.0956,0.0006179,0.0006179,0.0006179
45,1970.12,0.67077,0.60367,1.11176,0.77497,0.71394,0.75788,0.65352,0.58547,0.86552,1.08445,0.000599037,0.000599037,0.000599037
46,2013.52,0.66864,0.60311,1.11151,0.75755,0.70739,0.75352,0.65419,0.58508,0.87565,1.07263,0.000580174,0.000580174,0.000580174
47,2057.08,0.67671,0.59081,1.11272,0.82446,0.73883,0.79855,0.69065,0.57952,0.80003,1.06755,0.000561311,0.000561311,0.000561311
48,2100.5,0.65392,0.581,1.09904,0.74577,0.76134,0.76683,0.6571,0.59193,0.88778,1.07156,0.000542448,0.000542448,0.000542448
49,2143.91,0.64934,0.57518,1.09558,0.74315,0.76643,0.76292,0.65768,0.58076,0.90913,1.06313,0.000523586,0.000523586,0.000523586
50,2187.02,0.65661,0.57352,1.10183,0.78573,0.7391,0.76492,0.66066,0.58062,0.85265,1.06698,0.000504723,0.000504723,0.000504723
51,2230.21,0.64637,0.57499,1.09487,0.76564,0.69076,0.72902,0.63065,0.59479,1.00209,1.08008,0.00048586,0.00048586,0.00048586
52,2273.47,0.64866,0.57141,1.09654,0.76678,0.75032,0.78901,0.69022,0.57563,0.77227,1.06465,0.000466997,0.000466997,0.000466997
53,2317.14,0.63531,0.55837,1.09266,0.77496,0.70935,0.77093,0.66719,0.58773,0.88498,1.08664,0.000448134,0.000448134,0.000448134
54,2360.65,0.62818,0.55367,1.08366,0.76394,0.68485,0.75195,0.65429,0.58092,0.96891,1.06232,0.000429272,0.000429272,0.000429272
55,2404.77,0.62687,0.54757,1.08407,0.7947,0.7197,0.75831,0.65658,0.57874,0.94396,1.07007,0.000410409,0.000410409,0.000410409
56,2451.05,0.62235,0.54249,1.08242,0.76955,0.75956,0.75063,0.65369,0.57048,0.94253,1.05941,0.000391546,0.000391546,0.000391546
57,2494.68,0.60762,0.52981,1.0705,0.80893,0.71261,0.76874,0.6747,0.57002,0.90167,1.06046,0.000372683,0.000372683,0.000372683
58,2538.4,0.61794,0.5275,1.07899,0.76623,0.74138,0.7489,0.65704,0.55734,0.95823,1.05319,0.00035382,0.00035382,0.00035382
59,2581.77,0.6161,0.53276,1.07535,0.75775,0.73324,0.75683,0.66142,0.57168,0.88134,1.06365,0.000334958,0.000334958,0.000334958
60,2625.28,0.61291,0.52613,1.07787,0.76335,0.74649,0.76819,0.67144,0.57101,0.90295,1.06654,0.000316095,0.000316095,0.000316095
61,2668.94,0.60356,0.51388,1.07296,0.75859,0.76693,0.76759,0.67663,0.55714,0.85989,1.04904,0.000297232,0.000297232,0.000297232
62,2712.45,0.60145,0.51473,1.06952,0.79691,0.73518,0.75192,0.6522,0.56862,0.95369,1.0656,0.000278369,0.000278369,0.000278369
63,2756.37,0.59836,0.50704,1.06208,0.80887,0.70973,0.75576,0.65964,0.56631,0.92302,1.05858,0.000259506,0.000259506,0.000259506
64,2799.78,0.58875,0.49663,1.06601,0.8179,0.71548,0.76144,0.66339,0.56786,0.89244,1.05917,0.000240644,0.000240644,0.000240644
65,2843.41,0.57577,0.48348,1.05042,0.77714,0.75152,0.75731,0.66614,0.55267,0.90463,1.05012,0.000221781,0.000221781,0.000221781
66,2911.14,0.46349,0.38848,0.98783,0.76498,0.75606,0.75116,0.6592,0.55387,0.94185,1.05546,0.000202918,0.000202918,0.000202918
67,2953.1,0.4475,0.35634,0.97465,0.79176,0.76593,0.75665,0.66465,0.55827,0.92455,1.05667,0.000184055,0.000184055,0.000184055
68,2995.78,0.44107,0.34671,0.97231,0.75723,0.74656,0.74985,0.65812,0.55123,0.98663,1.04955,0.000165192,0.000165192,0.000165192
69,3038.07,0.44009,0.3428,0.97467,0.79505,0.71544,0.75617,0.66723,0.55971,0.9506,1.05742,0.00014633,0.00014633,0.00014633
70,3079.92,0.42975,0.33437,0.96664,0.77614,0.72102,0.74898,0.66034,0.56645,0.98307,1.07016,0.000127467,0.000127467,0.000127467
71,3122.3,0.42434,0.32938,0.96133,0.79623,0.73408,0.75139,0.66107,0.56171,0.96892,1.06758,0.000108604,0.000108604,0.000108604
72,3164.08,0.41913,0.32499,0.96184,0.78934,0.72353,0.74322,0.65222,0.55824,0.99845,1.06275,8.97412e-05,8.97412e-05,8.97412e-05
73,3206.44,0.4131,0.31417,0.953,0.80266,0.70642,0.75315,0.66691,0.55278,0.94292,1.05913,7.08784e-05,7.08784e-05,7.08784e-05
74,3248.6,0.41481,0.3124,0.95012,0.78982,0.72668,0.74328,0.65083,0.55561,0.97004,1.06554,5.20156e-05,5.20156e-05,5.20156e-05
75,3290.88,0.40682,0.30583,0.94794,0.79296,0.72175,0.74334,0.65461,0.55037,0.95815,1.05998,3.31528e-05,3.31528e-05,3.31528e-05
